iter	Passed	Remaining
0	85	85643
1	96	48206
2	110	36805
3	122	30508
4	134	26772
5	147	24407
6	159	22619
7	171	21228
8	183	20205
9	194	19293
10	206	18542
11	218	18007
12	231	17584
13	243	17143
14	254	16729
15	266	16417
16	279	16155
17	292	15932
18	303	15663
19	315	15472
20	329	15350
21	342	15243
22	354	15058
23	365	14879
24	378	14742
25	389	14596
26	401	14467
27	413	14354
28	424	14211
29	434	14064
30	448	14005
31	458	13879
32	471	13812
33	485	13785
34	498	13744
35	510	13676
36	522	13592
37	533	13509
38	544	13415
39	555	13337
40	566	13261
41	578	13189
42	591	13162
43	603	13105
44	615	13055
45	626	12995
46	638	12937
47	649	12890
48	663	12880
49	676	12858
50	691	12862
51	705	12869
52	721	12882
53	734	12866
54	747	12839
55	762	12848
56	774	12811
57	788	12807
58	800	12772
59	812	12734
60	826	12726
61	838	12684
62	850	12649
63	861	12600
64	874	12572
65	886	12551
66	901	12547
67	916	12561
68	930	12550
69	944	12551
70	956	12512
71	969	12491
72	981	12463
73	993	12436
74	1005	12406
75	1017	12366
76	1030	12348
77	1044	12343
78	1058	12334
79	1070	12313
80	1082	12283
81	1093	12246
82	1108	12244
83	1119	12211
84	1131	12182
85	1143	12148
86	1154	12119
87	1166	12088
88	1177	12053
89	1191	12044
90	1203	12023
91	1217	12013
92	1229	11993
93	1242	11974
94	1255	11957
95	1266	11922
96	1277	11892
97	1289	11864
98	1302	11850
99	1318	11863
100	1333	11873
101	1358	11963
102	1372	11956
103	1386	11942
104	1397	11912
105	1409	11888
106	1423	11876
107	1434	11849
108	1447	11830
109	1459	11806
110	1471	11781
111	1483	11764
112	1495	11739
113	1509	11729
114	1523	11727
115	1538	11722
116	1551	11710
117	1563	11685
118	1576	11672
119	1589	11659
120	1603	11651
121	1617	11639
122	1630	11627
123	1642	11606
124	1656	11597
125	1669	11580
126	1682	11563
127	1694	11546
128	1706	11522
129	1719	11509
130	1733	11499
131	1746	11482
132	1760	11477
133	1772	11458
134	1787	11450
135	1799	11431
136	1810	11404
137	1822	11385
138	1835	11372
139	1848	11354
140	1859	11329
141	1873	11321
142	1887	11311
143	1899	11290
144	1911	11268
145	1924	11254
146	1939	11256
147	1950	11227
148	1964	11219
149	1978	11211
150	1992	11200
151	2003	11179
152	2014	11153
153	2025	11127
154	2037	11109
155	2049	11088
156	2062	11076
157	2075	11060
158	2090	11057
159	2103	11044
160	2115	11024
161	2130	11020
162	2145	11019
163	2161	11016
164	2176	11014
165	2188	10996
166	2201	10981
167	2216	10975
168	2229	10963
169	2244	10959
170	2256	10940
171	2268	10922
